name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,75.51,68.1,65.39,68.34,71.74,80.05,60.14,49.67,68.8,68.17,76.84,72.39,5.5,7.85,5.93,2356165.5,2235663.566666667,168814956.0,152777796.0,0.51,5.02,6848242527.155374,-4.53,190,-12.53,253,340.55,3,107.83,0.67,15.47,1.37,0.75,52.6,0.292,40.23,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-10-28,False,True,4,"thin RVOL, large gap","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.54,13.11,13.97,15.62,15.18,12.03,9.29,8.15,13.33,14.04,13.67,13.06,5.26,7.23,0.98,1544818.4,2484215.933333333,33636284.0,38797242.0,0.23,1.68,838125998.9672006,-28.7,436,62.16,28,271.98,5,101.81,-1.5,-3.06,0.49,0.62,48.5,0.326,51.98,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.35,11.29,11.0,11.63,10.66,9.06,7.22,6.67,11.24,11.16,11.41,10.75,6.07,6.9,0.78,2358011.5,2869060.466666667,32563836.0,33378171.0,0.38,1.48,1373534463.6761992,-4.94,197,29.71,78,250.31,7,91.69,0.94,3.22,0.24,0.84,76.7,0.187,40.65,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.4,1.1,0.95,0.85,0.95,0.92,1.05,1.3,1.16,1.38,1.27,19.66,13.56,0.18,78599010.2,63764049.43333333,83530905.0,60489765.0,0.12,1.57,245156974.1338583,113.01,3,57.64,34,92.08,54,87.58,3.92,18.87,0.99,0.65,22.5,1.436,41.53,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,112.76,112.9,115.34,114.77,107.78,88.47,71.78,68.23,112.94,113.03,114.0,112.15,4.03,3.93,4.43,832499.8,827953.3666666667,93355882.0,95025174.0,0.18,1.23,12188634409.278107,-3.29,176,36.14,64,217.62,9,83.49,1.18,-2.24,0.06,0.42,13.7,0.145,41.78,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,2026-11-04,False,False,6,,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,56.92,57.73,59.8,56.68,51.03,41.27,34.6,29.91,57.57,57.15,58.0,56.26,4.63,5.13,2.92,370260.6,588876.8333333334,33521814.0,33378520.0,0.18,1.22,1627094950.530612,-6.83,212,70.89,20,166.0,15,76.69,2.25,-4.81,0.08,0.6,22.8,0.17,52.51,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:ETON&interval=D,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.41,49.02,48.67,49.68,53.75,54.54,42.0,35.09,49.71,49.75,51.3,48.66,8.29,8.52,4.3,865093.3,814586.1,41063285.0,40468230.0,0.12,1.88,1622233495.4281626,-2.4,168,-2.33,204,226.49,8,73.92,-0.73,3.58,0.16,0.61,40.7,0.235,38.58,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-10-29,False,False,5,thin RVOL,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,34.57,32.33,32.81,32.69,30.0,25.85,22.62,21.78,32.82,32.35,35.31,33.18,4.64,5.04,1.74,1728719.8,2032241.7666666666,70254598.0,66434999.0,0.56,1.97,2583192696.4468904,8.27,86,79.86,16,121.46,31,69.86,3.02,5.36,1.36,1.22,79.8,0.169,31.89,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,2026-11-09,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.26,56.79,54.85,55.18,52.24,46.28,38.62,34.73,56.97,55.5,62.14,57.01,5.76,6.11,3.74,30674875.6,22119629.83333336,1355048524.0,1220612787.0,0.26,1.01,81320489288.03458,9.67,69,24.58,92,173.12,13,69.12,2.82,11.69,1.7,1.37,113.5,0.217,36.02,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2026-12-03,False,False,5,LoD>60% ATR,EMA,5,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.26,15.59,14.98,15.04,14.14,12.38,11.57,12.93,16.04,15.31,17.63,16.82,6.27,6.11,1.06,7459911.7,5587334.666666667,96465333.0,84053069.0,0.3,-0.98,7054267421.369289,15.1,42,96.42,9,84.85,61,65.46,3.62,15.26,2.09,0.77,42.2,0.329,23.29,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,2026-12-11,False,False,5,thin RVOL,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.72,2.55,2.58,2.55,2.47,2.14,1.84,1.81,2.58,2.56,2.79,2.7,5.46,5.96,0.16,23968188.000000037,19389584.36666667,52741608.0,49469358.0,0.49,1.88,2427973890.058308,13.34,51,2.65,182,164.09,17,60.02,1.71,5.51,1.06,0.55,12.4,0.141,28.38,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.2,75.66,73.44,72.27,68.41,55.38,50.82,45.9,75.22,73.49,77.2,74.11,5.31,5.64,4.35,3658141.5,3071086.0,237087839.0,221944314.0,0.21,-2.17,9151044525.657843,2.25,132,108.48,7,63.94,84,58.22,2.28,5.12,0.89,0.71,71.0,0.181,38.55,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,2026-10-29,False,True,3,"LoD>60% ATR, thin RVOL, large gap","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,False,True,False
XMTR,"Xometry, Inc.",NASDAQ,Information Technology Services,98.3,89.86,89.61,89.95,90.87,86.76,72.66,70.03,90.69,90.17,99.74,94.5,4.15,4.77,4.69,621304.0,531389.9333333333,52235630.0,47798702.0,0.37,2.84,5634907395.853998,11.4,61,8.0,154,146.8,20,55.4,1.72,9.7,1.89,1.12,81.1,0.196,21.2,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-11-05,False,True,3,"LoD>60% ATR, thin RVOL, large gap",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:XMTR&interval=D,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,52.26,49.71,50.0,52.83,55.93,55.37,43.79,37.85,49.73,50.98,52.46,50.22,4.56,6.74,3.52,1100791.1,1426331.3333333333,74540075.0,75359741.0,0.44,5.43,2677943525.833333,-12.64,293,-17.62,281,195.92,11,55.22,-0.97,4.52,0.37,0.63,57.9,0.148,34.59,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-10-06,False,True,4,"thin RVOL, large gap",near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,32.49,32.57,31.7,31.08,30.72,27.75,23.07,21.17,32.32,31.78,34.12,31.91,5.54,5.75,1.87,4751137.5,5543917.533333333,180121881.0,172282781.0,0.43,2.49,8885007661.313541,3.9,119,13.72,134,145.21,22,54.28,1.0,2.51,0.39,1.18,31.0,0.138,35.08,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,2026-11-10,False,True,4,"thin RVOL, large gap","EMA, near21",6,https://www.tradingview.com/chart/?symbol=NYSE:OSCR&interval=D,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,241.52,226.76,227.85,225.2,215.94,222.03,181.94,157.65,228.25,225.64,247.89,240.0,4.21,6.2,14.97,17811632.1,22132604.1,5345355879.0,4984295642.0,0.66,4.51,211784515586.7896,9.52,71,-20.94,303,171.67,14,53.42,1.91,6.0,1.14,0.53,10.1,0.223,29.07,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-26,False,True,5,large gap,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,True
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,94.56,92.96,95.51,99.31,96.09,82.86,70.58,60.76,93.83,95.22,97.04,94.05,5.04,5.27,4.98,651294.3,754552.9,71354295.0,74931505.0,0.23,1.48,6261119908.50727,-14.24,329,29.19,79,143.04,23,52.66,-0.3,-0.99,0.13,0.6,10.4,0.207,37.36,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-18,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:ORKA&interval=D,False,False,True
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,31.28,33.0,32.92,32.45,28.39,23.61,22.69,23.32,32.62,32.14,32.18,31.24,4.48,4.89,1.53,7696086.1,9094056.433333334,284462085.0,295141539.0,0.22,2.32,11842141784.862719,0.19,147,87.31,13,63.6,85,50.37,2.08,-4.99,0.55,0.61,2.6,0.104,32.97,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,False,2026-11-11,False,True,5,large gap,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:CHYM&interval=D,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,22.3,23.79,26.3,27.18,26.68,23.61,19.52,18.26,23.6,25.21,22.81,22.03,5.98,6.74,1.5,5487388.9,3271485.6666666665,72954130.0,88915164.0,0.1,0.62,5812171633.173546,-22.57,410,4.45,170,158.7,19,46.86,-2.44,-15.2,1.71,0.52,18.0,0.494,37.78,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,2026-12-15,False,False,5,thin RVOL,ADR,5,https://www.tradingview.com/chart/?symbol=NASDAQ:NAVN&interval=D,False,False,True
